year,match_rate,avg_util,tau
1,0.39925,1.067989043849708,0.15
2,0.40025,1.0274495471581393,0.16999999999999998
3,0.4015,1.0269641577242972,0.18999999999999997
4,0.3965,1.0098220684068413,0.20999999999999996
5,0.4045,1.0537483048548646,0.22999999999999995
6,0.40175,1.0081462030775086,0.24999999999999994
7,0.39825,1.0663993784165169,0.26999999999999996
8,0.39975,1.0249165121155743,0.29
9,0.401,1.0573578503513081,0.3
10,0.40025,1.062266906509448,0.3
11,0.39825,1.0327898389860422,0.3
12,0.398,1.0872770541725865,0.3
13,0.40525,1.047977835303563,0.3
14,0.39975,1.122284982210763,0.3
15,0.39625,1.051731201721105,0.3
16,0.39975,1.0661620969336052,0.3
17,0.3985,1.0422127014657412,0.3
18,0.40025,1.0479597579699544,0.3
19,0.398,1.0727819502880325,0.3
20,0.3945,1.075277519336638,0.3
